Year,China,India,Nepal
2000,8.49009340597647,3.84099115659129,6.19999998192236
2001,8.33573347817196,4.82396626555771,4.79989214255407
2002,9.13363078966614,3.80397532112175,0.120143177369414
2003,10.0380304810393,7.8603814759073,3.94503776051116
2004,10.1136213776263,7.92293661199932,4.68260325152944
2005,11.3945918098927,7.92343062148318,3.47918104829496
2006,12.7209556654032,8.06073257166651,3.36461478056277
2007,14.2308609331955,7.6608150670107,3.41156027980276
2008,9.65067891939361,3.08669805921981,6.10463914373472
2009,9.39872563259674,7.86188883286074,4.5330787246486
2010,10.6358710644913,8.49758470221235,4.81641464694573
2011,9.55083217877568,5.24131619938926,3.42180870116162
2012,7.86373644862111,5.45638755164701,4.67014192446953
2013,7.76615009773009,6.38610640092348,3.52515317129149
2014,7.42576365632412,7.41022760516408,6.01148284250441
2015,7.04132887873656,7.99625378566586,3.97605327162971
2016,6.84876220495761,8.25630550178155,0.433113719381524
2017,6.94720079331685,6.79538341898569,8.97727935643466
2018,6.7497738324959,6.4538513449766,7.62237610397933
2019,5.95050075367413,3.87143694070957,6.65705543110468
2020,2.23863835634639,-5.77772470687434,-2.3696206292072
2021,8.44846941687277,9.68959249191211,4.838149614115
2022,2.98908408613474,6.98703932576051,5.63131455871746
2023,5.19999999987174,7.58397112433558,1.95254463264347
