Year,GDP,per_capita,Growth,trade_balance_usd_billon,contribution_of_manufacturing_industry_to_gdp,no_of_people_in_foreign_employment
1965,0.735267082,67.0075,-1.2032,-0.0452815330096,3.2845412939047,0
1966,0.906811944,81.1644,7.0406,-0.0282189263683,3.43030819423048,0
1967,0.841974025,73.9679,-1.5715,-0.0006562541016,3.41387368022021,0
1968,0.772228643,66.5489,0.6755,-0.0050599115054,3.5689389775843,0
1969,0.788641965,66.6383,4.4634,-0.0252839506173,3.84470887720362,0
1970,0.865975309,71.7186,2.576,-0.0294320987654,3.6838503649635,0
1971,0.882765472,71.6299,-1.1954,-0.0328888888889,3.75923008461714,0
1972,1.024098805,81.3866,3.1178,-0.0231111111111,3.94444965013214,0
1973,0.972101725,75.637,-0.4765,-0.0365671714562,4.00240730254159,0
1974,1.217953547,92.7522,6.3336,-0.0620958634462,4.10680840516897,0
1975,1.575789254,117.4177,1.4565,-0.0703689615824,4.00700022940076,0
1976,1.452792989,105.8928,4.3985,-0.0494454012428,3.96688515561047,0
1977,1.3824,98.542,3.017,-0.03496,4.25925925925926,0
1978,1.604162497,111.8066,4.4057,-0.07861468233,4.02392037202836,0
1979,1.851250008,126.1333,2.3689,-0.0774166833333,3.81724058601287,0
1980,1.945916583,129.586,-2.3194,-0.1399166666667,4.00839381647012,0
1981,2.275583317,148.0803,8.342,-0.1528333416667,3.84150586912884,0
1982,2.395429852,152.2897,3.7794,-0.1728469268647,4.01123057986913,0
1983,2.447174803,151.9926,-2.9774,-0.27124788518,4.32464454976303,0
1984,2.581207388,156.6505,9.6811,-0.2270597694672,4.61030728990293,0
1985,2.619913956,155.4078,6.1449,-0.2219160588252,5.39003133988752,0
1986,2.850784523,165.3618,4.5657,-0.2463203883992,5.83770009331706,0
1987,2.95725538,167.7999,1.6956,-0.2689132558796,5.8561944131279,0
1988,3.487009748,193.4996,7.6968,-0.3812940376332,6.00083218474501,0
1989,3.525228153,191.1209,4.3296,-0.3953796761034,5.44085852871658,0
1990,3.627562403,191.8789,4.635,-0.4038977283888,5.75926355689642,0
1991,3.921476085,202.0806,6.3682,-0.4585598669623,6.37636206492678,0
1992,3.401211581,170.5867,4.1064,-0.3325011135857,8.39606481117694,0
1993,3.660041667,178.626,3.8499,-0.37785,8.32071583884519,3605
1994,4.06677551,193.2796,8.216,-0.5060775510204,8.96312577783131,2159
1995,4.401104418,203.9808,3.4685,-0.4200502269076,8.92209421694993,2134
1996,4.521580381,204.6858,5.3283,-0.5797849990917,9.02564349792899,3259
1997,4.918691917,217.788,5.0486,-0.5597404874627,8.84664881841483,7255
1998,4.856255044,210.6116,3.0164,-0.5373688458434,8.97040003988765,27796
1999,5.033642384,214.1067,4.4126,-0.3458130978661,8.86953420107825,35543
2000,5.494252208,229.4904,6.2,-0.5023164905169,8.840859263007,55025
2001,6.007055042,246.7256,4.7999,-0.6414557823129,8.69929482753759,104736
2002,6.050875807,244.7208,0.1201,-0.650860002634,8.21342364558824,104971
2003,6.330473097,252.4024,3.945,-0.8133489720381,7.88776001511485,106333
2004,7.273938315,286.1577,4.6826,-0.9297472445715,7.76396416201986,139718
2005,8.130258041,315.8056,3.4792,-1.2110485943382,7.61521652087165,165252
2006,9.043715356,346.9453,3.3646,-1.6160039377972,7.31404529081892,204533
2007,10.32561802,391.3801,3.4116,-1.9482319560206,7.16818694552414,249051
2008,12.54543861,470.4555,6.1046,-2.5698786304358,7.01090407989623,219965
2009,12.85498546,478.1733,4.5331,-2.8590438158913,6.62236712160215,294094
2010,16.00265643,592.4012,4.8164,-4.2918858001503,5.94613900034709,360116
2011,21.57386247,797.8139,3.4218,-4.462442048719,5.39690150493349,384665
2012,21.7031065,804.1416,4.6701,-4.4320615850219,5.78522283367523,415818
2013,22.16220896,823.3599,3.5252,-5.1584886954584,5.75041430551762,527814
2014,22.73160297,844.8531,6.0115,-5.8498774085553,5.61219115969052,512887
2015,24.36079541,901.7496,3.9761,-6.3914330485791,5.35605555526002,418713
2016,24.52409818,899.5236,0.4331,-6.3165076684103,4.88818962554893,445442
2017,28.97158921,1048.4538,8.9773,-8.4069854084971,4.85567399385124,450000
2018,33.11152587,1178.526,7.6224,-10.865913064682,4.9064745393927,400000
2019,34.186191,1194.9572,6.6571,-11.517209338606,4.98144138803784,250000
2020,33.43367051,1147.472,-2.3696,-9.1301623449201,4.47485439161988,200000
2021,36.28883037,1222.8788,4.2469,-12.1178446896,4.66559835014224,50000
