Name,StartDate,EndDate
Krishna Prasad Bhattarai,1990-04-19,1991-05-29
Girija Prasad Koirala,1991-05-29,1994-11-30
Man Mohan Adhikari,1994-11-30,1995-09-12
Sher Bahadur Deuba,1995-09-12,1997-03-12
Lokendra Bahadur Chand,1997-03-12,1998-04-15
Girija Prasad Koirala,1998-04-15,1999-05-31
Krishna Prasad Bhattarai,1999-05-31,2000-03-20
Girija Prasad Koirala,2000-03-20,2001-07-26
Sher Bahadur Deuba,2001-07-26,2002-10-04
Lokendra Bahadur Chand,2002-10-11,2003-06-05
Surya Bahadur Thapa,2003-06-05,2004-05-07
Sher Bahadur Deuba,2004-06-04,2005-02-01
King Gyanendra (Direct Rule),2005-02-01,2006-04-24
Girija Prasad Koirala,2006-04-25,2008-08-18
Pushpa Kamal Dahal (Prachanda),2008-08-18,2009-05-25
Madhav Kumar Nepal,2009-05-25,2011-02-06
Jhala Nath Khanal,2011-02-06,2011-08-29
Baburam Bhattarai,2011-08-29,2013-03-14
Khil Raj Regmi (Interim),2013-03-14,2014-02-10
Sushil Koirala,2014-02-10,2015-10-12
Khadga Prasad Sharma Oli,2015-10-12,2016-08-03
Pushpa Kamal Dahal (Prachanda),2016-08-03,2017-06-07
Sher Bahadur Deuba,2017-06-07,2018-02-15
Khadga Prasad Sharma Oli,2018-02-15,2021-07-13
Sher Bahadur Deuba,2021-07-13,2022-12-26
Pushpa Kamal Dahal (Prachanda),2022-12-26,2024-07-01
